synthetic_id,class,stage,concentration_uM,duration_s,replicate_1_early_disp_30s,replicate_2_early_disp_30s,biomarker_replicate_status,early_displacement_30s,true_endpoint_delta_f,success_or_fail,intentionally_divergent
SYN_PROBE_CLEAN_PCA3_TARGET_0000_FORCED_DIVERGENT,CLEAN_PCA3_TARGET,probe,10.0,187.0696735700911,-33.42619452243824,-0.0031772285689655455,DIVERGENT_REPLICATES,-16.7146858755036,-39.95787680232262,SUCCESS,True
SYN_PROBE_CLEAN_PCA3_TARGET_0001_FORCED_DIVERGENT,CLEAN_PCA3_TARGET,probe,10.0,84.42337110588122,-92.37134758917405,-0.028294924014303526,DIVERGENT_REPLICATES,-46.19982125659418,-83.72474032231906,SUCCESS,True
SYN_PROBE_CLEAN_PCA3_TARGET_0002,CLEAN_PCA3_TARGET,probe,0.5,146.32023683744276,-42.79843542252618,-31.072092517323014,CONCORDANT,-36.9352639699246,-35.72826135771325,SUCCESS,False
SYN_PROBE_CLEAN_PCA3_TARGET_0003,CLEAN_PCA3_TARGET,probe,20.0,123.25470884076397,-427.8679961877931,-311.37168037005506,CONCORDANT,-369.6198382789241,-369.3726653989364,SUCCESS,False
SYN_PROBE_CLEAN_PCA3_TARGET_0004,CLEAN_PCA3_TARGET,probe,20.0,148.97749533679544,-156.50257867646684,9.801823171381795,DIVERGENT_REPLICATES,-73.35037775254253,-72.22532792303015,SUCCESS,False
SYN_PROBE_CLEAN_PCA3_TARGET_0005,CLEAN_PCA3_TARGET,probe,5.0,163.5867887172389,-82.36057008230578,46.21444151275554,DIVERGENT_REPLICATES,-18.07306428477512,-17.834631684952225,SUCCESS,False
SYN_PROBE_CLEAN_PCA3_TARGET_0006,CLEAN_PCA3_TARGET,probe,10.0,156.82855395801138,-93.52030616903473,-105.86786614887302,CONCORDANT,-99.69408615895387,-98.45790689193296,SUCCESS,False
SYN_PROBE_CLEAN_PCA3_TARGET_0007,CLEAN_PCA3_TARGET,probe,10.0,137.05326190590367,-1.8364925996368444,20.793185047328155,DIVERGENT_REPLICATES,9.478346223845655,9.453104389036122,FAILURE,False
SYN_PROBE_CLEAN_PCA3_TARGET_0008,CLEAN_PCA3_TARGET,probe,10.0,239.0805291738988,-370.09303882291096,-340.72947267345245,CONCORDANT,-355.4112557481817,-355.94189042345823,SUCCESS,False
SYN_PROBE_CLEAN_PCA3_TARGET_0009,CLEAN_PCA3_TARGET,probe,5.0,109.10669641341991,-49.136870382522766,-125.30330490194011,DIVERGENT_REPLICATES,-87.22008764223143,-86.64525817629399,SUCCESS,False
SYN_PROBE_CLEAN_PCA3_TARGET_0010,CLEAN_PCA3_TARGET,probe,10.0,151.20384887267204,66.81629998620961,28.916155911933675,DIVERGENT_REPLICATES,47.86622794907164,48.06088503700944,FAILURE,False
SYN_PROBE_CLEAN_PCA3_TARGET_0011,CLEAN_PCA3_TARGET,probe,10.0,158.02293850641755,-86.86164086977206,-89.24990877016674,CONCORDANT,-88.0557748199694,-89.43940948948038,SUCCESS,False
